Student ID,Student Full Name,Department Name/Code,Joining Year,Graduation Year,Contact Email,Contact Phone Number,Date of Birth,Student Address,Student City,Academic Score %,Attendance %,Got Job Offer in Campus Placement,Job Offered by Company,Starting Campus Offer Value,Notes
1033,Damini Chokshi,Computer Science Engineering (CSE),2019,2023,daminichokshi1@gmail.com,9.19114E+11,08-04-2003,"443, Sura Zila, Rajahmundry 613851",Shimoga,81.9,90,Yes,Infosys,2401897,Got job in campus placement
1034,Nirvi Tata,Computer Science Engineering (CSE),2017,2021,nirvitata57@gmail.com,6672689314,23-03-2003,"17, Doctor Circle, Hajipur 194360",Chennai,84.6,94.3,No,,,No special remarks
1035,Divit Gopal,Computer Science Engineering (CSE),2018,2022,divitgopal14@gmail.com,903353951,05-08-1998,"H.No. 20, Basu Circle, Guna-720765",Bathinda,83.6,82,No,,,No special remarks
1036,Samiha Bhatnagar,Computer Science Engineering (CSE),2019,2023,samihabhatnagar5@gmail.com,2286296145,13-01-1998,"115, Kapoor Circle, Sikar 636367",Bidhannagar,91,83.8,No,,,No special remarks
1037,Prerak Tara,Computer Science Engineering (CSE),2017,2021,preraktara5@gmail.com,3016468172,30-09-2002,"H.No. 381, Bhavsar Ganj, Raebareli 004708",Srikakulam,84.3,80.6,No,,,No special remarks
1038,Saanvi Chowdhury,Computer Science Engineering (CSE),2017,2021,saanvichowdhury99@gmail.com,9.18564E+11,13-04-1999,"H.No. 88, Madan Nagar, Jhansi-237233",Jaunpur,80.6,82.5,Yes,Infosys,2302297,Got job in campus placement
1039,Lavanya Salvi,Computer Science Engineering (CSE),2017,2021,lavanyasalvi18@gmail.com,679698896,06-09-2003,"05, Bala Street, Nagercoil 798487",Ballia,86.6,99,Yes,Infosys,2289681,Got job in campus placement
1040,Arnav Hayre,Computer Science Engineering (CSE),2019,2023,arnavhayre78@gmail.com,9550279714,20-04-1999,"81/844, Madan, Nadiad 157488",Raipur,80.8,93.9,Yes,Infosys,2332919,Got job in campus placement
1041,Heer Sandhu,Computer Science Engineering (CSE),2018,2022,heersandhu43@gmail.com,9823603141,26-03-2001,"34, Barad Road, Jamalpur-145554",Kottayam,94.2,97.9,Yes,Infosys,2400930,Got job in campus placement
1042,Shaan Kumer,Computer Science Engineering (CSE),2017,2021,shaankumer54@gmail.com,549616024,18-07-2002,"20/08, Contractor Ganj, Chandigarh 501474",Mira-Bhayandar,87.4,88.3,Yes,Zoho Corporation,2361385,Got job in campus placement
1043,Navya Sura,Computer Science Engineering (CSE),2017,2021,navyasura9@gmail.com,5153657372,18-12-1997,"H.No. 10, Acharya Chowk, Patna-791779",Aurangabad,89.5,89.8,No,,,No special remarks
1044,Jivika Bhatia,Computer Science Engineering (CSE),2017,2021,jivikabhatia51@gmail.com,1305586266,30-01-1998,"86/017, Thaker Path, Alwar 440162",Raebareli,92.9,88.9,Yes,Infosys,2221473,Got job in campus placement
1045,Jhanvi Borde,Computer Science Engineering (CSE),2016,2020,jhanviborde62@gmail.com,1917205587,12-04-2001,"H.No. 97, Suresh Circle, Bharatpur-274242",Faridabad,80.6,84.7,No,,,No special remarks
1046,Khushi Kaur,Computer Science Engineering (CSE),2016,2020,khushikaur36@gmail.com,540440114,21-07-2000,"65/73, Gour Street, Gangtok-390898",Siwan,89.1,91.2,Yes,Infosys,2350654,Got job in campus placement
1047,Anika Sundaram,Computer Science Engineering (CSE),2019,2023,anikasundaram28@gmail.com,273166455,30-04-2001,"H.No. 416, Savant Road, Nagaon-847722",Davanagere,90.9,88.3,Yes,Infosys,2248070,Got job in campus placement
1048,Keya Bhavsar,Computer Science Engineering (CSE),2018,2022,keyabhavsar95@gmail.com,9.1556E+11,06-01-1998,"69/18, Babu Zila, Bhagalpur 593256",Ahmedabad,84.5,99.8,Yes,Wipro,2406829,Got job in campus placement
1049,Samarth Chahal,Computer Science Engineering (CSE),2018,2022,samarthchahal46@gmail.com,9.14262E+11,30-10-1997,"H.No. 51, Bhattacharyya Chowk, Bhalswa Jahangir Pur-741054",Arrah,79.4,85.5,Yes,Wipro,2360545,Got job in campus placement
1050,Anay Aurora,Computer Science Engineering (CSE),2018,2022,anayaurora11@gmail.com,6288568570,04-07-2002,"H.No. 414, Arya Street, Munger-182725",Nellore,89.2,92.1,No,,,No special remarks
1051,Vihaan Bhagat,Computer Science Engineering (CSE),2019,2023,vihaanbhagat95@gmail.com,622468453,02-05-2002,"H.No. 994, Varty Chowk, Panchkula-150395",Adoni,84.4,99.7,No,,,No special remarks
1052,Shamik Gera,Computer Science Engineering (CSE),2017,2021,shamikgera34@gmail.com,1271928310,01-10-2000,"67/374, Deo Zila, Tezpur-872108",Udupi,93.3,92.4,No,,,No special remarks
1053,Anahita Kala,Computer Science Engineering (CSE),2016,2020,anahitakala95@gmail.com,1898696750,06-02-1998,"683, Dani Zila, Hindupur-347789",Kalyan-Dombivli,86.7,95.2,Yes,TCS,2371799,Got job in campus placement
1054,Hiran Varma,Computer Science Engineering (CSE),2016,2020,hiranvarma46@gmail.com,796098695,31-05-2002,"39/02, Roy Circle, Bhusawal 916253",Tirupati,87.9,91.5,No,,,No special remarks
1055,Manikya Batta,Computer Science Engineering (CSE),2017,2021,manikyabatta12@gmail.com,3106031394,02-02-2001,"79/14, Sarkar Ganj, Haridwar-651834",Asansol,86,80.6,Yes,Wipro,2251658,Got job in campus placement
1056,Mishti Biswas,Computer Science Engineering (CSE),2016,2020,mishtibiswas65@gmail.com,9.17068E+11,22-12-2002,"H.No. 255, Bhandari Road, Sangli-Miraj & Kupwad 527108",Indore,77.6,99.5,No,,,No special remarks
1057,Ivana Bhatti,Computer Science Engineering (CSE),2019,2023,ivanabhatti62@gmail.com,2316058154,18-03-2001,"939, Ravi Street, Asansol 476310",Malda,86.3,94.9,No,,,No special remarks
1058,Kanav Kant,Computer Science Engineering (CSE),2019,2023,kanavkant3@gmail.com,3854569283,07-04-2001,"H.No. 30, Saxena Path, Karnal 167281",Bangalore,81.2,93.7,Yes,Wipro,2360561,Got job in campus placement
1059,Madhup Shenoy,Computer Science Engineering (CSE),2016,2020,madhupshenoy81@gmail.com,6398263927,02-07-2003,"H.No. 17, Divan Circle, Ramagundam 532265",Imphal,80.6,83,Yes,Zoho Corporation,2305148,Got job in campus placement
1060,Gokul Hayre,Computer Science Engineering (CSE),2019,2023,gokulhayre73@gmail.com,9.16551E+11,08-12-2001,"H.No. 950, Kapur Ganj, Bathinda-675461",Ambattur,90.2,93.1,No,,,No special remarks
1061,Kavya Ramachandran,Computer Science Engineering (CSE),2017,2021,kavyaramachandran39@gmail.com,1230139053,18-03-2003,"961, Rastogi Zila, Naihati-051235",Ahmedabad,87.3,83.6,Yes,Wipro,2236841,Got job in campus placement
1062,Madhup Johal,Computer Science Engineering (CSE),2019,2023,madhupjohal44@gmail.com,8760642879,28-10-2000,"H.No. 72, Mani Street, Bhatpara-423521",Nashik,80.2,81.1,No,,,No special remarks
1063,Raghav Ramachandran,Computer Science Engineering (CSE),2019,2023,raghavramachandran49@gmail.com,6725535239,10-11-1997,"20/737, Chaudhari Road, Bijapur 114867",Hyderabad,78.4,95.4,No,,,No special remarks
1064,Kanav Tara,Computer Science Engineering (CSE),2019,2023,kanavtara6@gmail.com,9.16564E+11,22-01-2001,"28/502, Talwar, Maheshtala-526762",Haldia,80.3,83.6,No,,,No special remarks
1065,Keya Sankaran,Computer Science Engineering (CSE),2017,2021,keyasankaran39@gmail.com,1275898464,27-08-2003,"156, Sodhi Circle, Fatehpur-950255",Jammu,91.9,99.8,Yes,Zoho Corporation,2260629,Got job in campus placement
1066,Rati Bera,Computer Science Engineering (CSE),2016,2020,ratibera94@gmail.com,9.17381E+11,16-07-2000,"H.No. 879, Kakar Street, Pondicherry 692640",Amravati,78.5,90.3,No,,,No special remarks
1067,Zoya Chatterjee,Computer Science Engineering (CSE),2018,2022,zoyachatterjee36@gmail.com,9.13445E+11,09-04-2001,"93, Buch Ganj, Rajahmundry-070108",Miryalaguda,94.9,89.7,Yes,Infosys,2337211,Got job in campus placement
1068,Damini Kulkarni,Computer Science Engineering (CSE),2019,2023,daminikulkarni15@gmail.com,9.11452E+11,02-10-1999,"64, Ramachandran, Thiruvananthapuram-206045",Munger,91.8,87.5,Yes,Zoho Corporation,2388205,Got job in campus placement
1069,Trisha Devi,Computer Science Engineering (CSE),2016,2020,trishadevi47@gmail.com,7950831625,17-12-2001,"H.No. 613, Dugar Ganj, Gandhinagar 667569",Tadipatri,90.4,87.5,No,,,No special remarks
1070,Urvi Kara,Computer Science Engineering (CSE),2018,2022,urvikara86@gmail.com,3786030165,16-04-2001,"97/55, Sachdeva Street, Raurkela Industrial Township 462909",Thrissur,81.1,83.5,Yes,TCS,2324630,Got job in campus placement
1071,Samar Lad,Computer Science Engineering (CSE),2018,2022,samarlad76@gmail.com,9.10777E+11,17-12-2002,"311, Hayre Chowk, Davanagere 340698",Salem,90.6,95.4,No,,,No special remarks
1072,Alisha Sankaran,Computer Science Engineering (CSE),2017,2021,alishasankaran96@gmail.com,9.13713E+11,30-05-2001,"54, Lala Zila, Sagar 087551",Mango,80.7,95.1,No,,,No special remarks
1073,Hansh Dayal,Computer Science Engineering (CSE),2017,2021,hanshdayal78@gmail.com,5632437856,03-09-1999,"38, Hari Marg, Mumbai 219575",Kamarhati,95,91.3,Yes,Infosys,2330431,Got job in campus placement
1074,Shlok Bhagat,Computer Science Engineering (CSE),2018,2022,shlokbhagat98@gmail.com,3835925197,02-06-2002,"43/27, Garde Ganj, Serampore 247113",Uluberia,84.8,83.3,No,,,No special remarks
1075,Nakul Golla,Computer Science Engineering (CSE),2018,2022,nakulgolla100@gmail.com,9.11779E+11,09-12-2001,"H.No. 288, Thaker Chowk, Sri Ganganagar-342202",Solapur,84.9,99.7,No,,,No special remarks
1076,Samar Sood,Computer Science Engineering (CSE),2016,2020,samarsood72@gmail.com,2946867759,30-04-1998,"H.No. 92, Tara Circle, Tiruvottiyur-090886",Solapur,86.4,92.7,Yes,Infosys,2317476,Got job in campus placement
1077,Zeeshan Choudhary,Computer Science Engineering (CSE),2018,2022,zeeshanchoudhary20@gmail.com,9.18135E+11,27-11-2000,"068, Ray Ganj, Machilipatnam-489393",Nandyal,84.1,89.6,No,,,No special remarks
1078,Alisha Buch,Computer Science Engineering (CSE),2018,2022,alishabuch97@gmail.com,9.18833E+11,16-06-2001,"94/202, Chana Street, Raurkela Industrial Township 464257",Danapur,81,91.8,No,,,No special remarks
1079,Charvi Lalla,Computer Science Engineering (CSE),2016,2020,charvilalla28@gmail.com,558142362,24-02-1998,"78, Kata Path, Chittoor 543189",Avadi,82.8,96.5,No,,,No special remarks
1080,Aniruddh Bhatti,Computer Science Engineering (CSE),2016,2020,aniruddhbhatti88@gmail.com,9.18808E+11,16-10-2002,"28/83, Bose, Bharatpur-097459",Indore,90.8,87.2,Yes,Infosys,2355457,Got job in campus placement
1081,Vanya Kant,Computer Science Engineering (CSE),2017,2021,vanyakant2@gmail.com,9.13603E+11,07-12-1997,"33/909, Rana Marg, Shivpuri 050451",Giridih,86,92.2,Yes,Wipro,2360546,Got job in campus placement
1082,Jayesh Anne,Computer Science Engineering (CSE),2016,2020,jayeshanne90@gmail.com,9.18561E+11,30-06-2003,"99/153, Tank Zila, Hapur-411122",Buxar,94.9,85.6,Yes,TCS,2236129,Got job in campus placement
1083,Ryan Sachar,Computer Science Engineering (CSE),2016,2020,ryansachar50@gmail.com,161825902,09-11-1997,"H.No. 046, Deol Ganj, Sultan Pur Majra 022556",Junagadh,82,98,Yes,Zoho Corporation,2293676,Got job in campus placement
1084,Madhav Zachariah,Computer Science Engineering (CSE),2018,2022,madhavzachariah94@gmail.com,6856882973,25-12-1998,"19, Bansal Zila, Asansol-902029",Vijayawada,77.2,94.3,No,,,No special remarks
1085,Mohanlal Deo,Computer Science Engineering (CSE),2019,2023,mohanlaldeo27@gmail.com,9.14774E+11,12-02-2003,"02, Seshadri Chowk, Malda 283137",Chinsurah,76.4,81.2,Yes,TCS,2268726,Got job in campus placement
1086,Diya Badal,Computer Science Engineering (CSE),2018,2022,diyabadal59@gmail.com,3862387595,09-09-2000,"H.No. 35, Chandra Nagar, Ramagundam-441366",Khammam,94.7,92.4,No,,,No special remarks
1087,Nakul Varkey,Computer Science Engineering (CSE),2019,2023,nakulvarkey56@gmail.com,5738605963,06-11-2001,"542, Doshi, Raiganj-973787",Karawal Nagar,76.7,94.6,No,,,No special remarks
1088,Aniruddh Gopal,Computer Science Engineering (CSE),2016,2020,aniruddhgopal2@gmail.com,9.15374E+11,11-11-2002,"62/507, Goswami Zila, Delhi-945865",Sagar,81.6,90.3,No,,,No special remarks
1089,Kashvi Ramachandran,Computer Science Engineering (CSE),2019,2023,kashviramachandran72@gmail.com,9.19473E+11,12-02-2003,"29, Ravel Path, Noida-134363",Dhanbad,81.7,86.4,No,,,No special remarks
1090,Elakshi Ghosh,Computer Science Engineering (CSE),2018,2022,elakshighosh51@gmail.com,5210778403,19-08-1998,"162, Wali Path, Amritsar-855725",Davanagere,85.7,93,Yes,Infosys,2256939,Got job in campus placement
1091,Prisha Sarkar,Computer Science Engineering (CSE),2017,2021,prishasarkar9@gmail.com,7279743344,19-04-2003,"92/73, Bumb Ganj, Ahmednagar-964026",Berhampur,75.9,99.5,No,,,No special remarks
1092,Tushar Acharya,Computer Science Engineering (CSE),2018,2022,tusharacharya40@gmail.com,3594080578,31-03-1998,"H.No. 18, Karan Path, Machilipatnam 405645",Gurgaon,90,97.4,Yes,Infosys,2228497,Got job in campus placement
1093,Rania Jha,Computer Science Engineering (CSE),2016,2020,raniajha37@gmail.com,9.1753E+11,17-07-2002,"21, Sule Street, Avadi 938581",Motihari,79.5,83.6,No,,,No special remarks
1094,Shayak Kuruvilla,Computer Science Engineering (CSE),2019,2023,shayakkuruvilla81@gmail.com,3458059812,23-10-1999,"65/15, Bhakta Marg, Chittoor 216649",Pondicherry,92.4,97.9,Yes,TCS,2361127,Got job in campus placement
1095,Indranil Ravel,Computer Science Engineering (CSE),2016,2020,indranilravel33@gmail.com,9344452664,06-06-2002,"95, Khalsa Path, Pudukkottai-284484",Kumbakonam,83.8,85.5,No,,,No special remarks
1096,Romil Ahluwalia,Computer Science Engineering (CSE),2018,2022,romilahluwalia32@gmail.com,6181367161,29-06-1999,"H.No. 798, D’Alia Path, Baranagar 501459",Akola,75.6,97.6,Yes,Wipro,2371375,Got job in campus placement
1097,Misha Bera,Computer Science Engineering (CSE),2019,2023,mishabera93@gmail.com,7272529508,21-10-1998,"H.No. 520, Sura, Bijapur-963749",Bahraich,94.9,88.6,Yes,Wipro,2269518,Got job in campus placement
1098,Kiara Kapur,Computer Science Engineering (CSE),2019,2023,kiarakapur59@gmail.com,9.11841E+11,22-08-1998,"02, Chad Circle, Pimpri-Chinchwad 403040",Chennai,75.5,98.2,No,,,No special remarks
1099,Anika Mann,Computer Science Engineering (CSE),2017,2021,anikamann53@gmail.com,4156217874,21-08-2002,"950, Tella Ganj, Berhampore-242550",Pallavaram,91.6,91.8,Yes,Infosys,2269213,Got job in campus placement
1100,Uthkarsh Sarin,Computer Science Engineering (CSE),2018,2022,uthkarshsarin9@gmail.com,8824641312,17-12-2000,"51/522, Bal Chowk, Udupi-890145",Hyderabad,89.3,89,Yes,Wipro,2349812,Got job in campus placement
1101,Oorja Hari,Computer Science Engineering (CSE),2018,2022,oorjahari49@gmail.com,8337873184,30-08-2001,"37/552, Manda Zila, Jabalpur 244146",Bhilai,80.8,85.4,No,,,No special remarks
1102,Akarsh Borra,Computer Science Engineering (CSE),2017,2021,akarshborra27@gmail.com,2890708630,02-09-2002,"13/530, Krishnamurthy Ganj, Aurangabad 436718",Karimnagar,89.4,89,No,,,No special remarks
1103,Saanvi Brahmbhatt,Computer Science Engineering (CSE),2019,2023,saanvibrahmbhatt36@gmail.com,8570137433,18-04-2002,"07/456, Bora Road, Kollam 962476",Navi Mumbai,90.1,87.8,No,,,No special remarks
1104,Aniruddh Choudhry,Computer Science Engineering (CSE),2017,2021,aniruddhchoudhry99@gmail.com,885876715,27-11-2002,"133, Rajagopal Path, Nangloi Jat 891658",Hosur,80.9,87.5,Yes,Infosys,2406871,Got job in campus placement
1105,Zara Dalal,Computer Science Engineering (CSE),2017,2021,zaradalal95@gmail.com,5978875580,10-04-1999,"14/885, Khanna Road, Bhavnagar-645886",Bhagalpur,76.9,96.8,Yes,Infosys,2372654,Got job in campus placement
1106,Ryan Krishna,Computer Science Engineering (CSE),2016,2020,ryankrishna37@gmail.com,9.19267E+11,21-03-2000,"30/264, Keer, Mehsana 710222",Dehri,94.2,80.1,Yes,Zoho Corporation,2289728,Got job in campus placement
1107,Sahil Borde,Computer Science Engineering (CSE),2016,2020,sahilborde76@gmail.com,1309902749,16-05-1998,"12, Master Marg, Asansol-254137",Jalna,84.2,98.4,No,,,No special remarks
1108,Lakshay Mannan,Computer Science Engineering (CSE),2016,2020,lakshaymannan51@gmail.com,9.12698E+11,14-09-1998,"926, Ghosh Zila, Satna-797236",Agartala,91.2,93.4,No,,,No special remarks
1109,Veer Sarma,Computer Science Engineering (CSE),2018,2022,veersarma33@gmail.com,9658447705,20-05-2003,"06, Kamdar Marg, Raichur-449110",Jalgaon,75.6,80.3,Yes,TCS,2298168,Got job in campus placement
1110,Manikya Mani,Computer Science Engineering (CSE),2018,2022,manikyamani76@gmail.com,9.15498E+11,19-03-2002,"05/172, Kannan, Hazaribagh 731244",Ghaziabad,93.4,86.7,Yes,Wipro,2266070,Got job in campus placement
1111,Kashvi Doctor,Computer Science Engineering (CSE),2019,2023,kashvidoctor33@gmail.com,5238185518,26-07-1999,"H.No. 02, Kibe Nagar, Pallavaram 995355",Patna,89.3,82.6,No,,,No special remarks
1112,Manjari Shankar,Computer Science Engineering (CSE),2019,2023,manjarishankar90@gmail.com,2385822238,14-09-2001,"74/99, Sathe Ganj, Tiruppur-004981",Ambala,87.1,97.2,Yes,Infosys,2264283,Got job in campus placement
1113,Arnav Chaudhary,Computer Science Engineering (CSE),2018,2022,arnavchaudhary65@gmail.com,6001294810,11-01-1998,"H.No. 126, Goswami Nagar, Amroha 448921",Medininagar,86.9,95,Yes,Zoho Corporation,2226759,Got job in campus placement
1114,Bhavin Sarma,Computer Science Engineering (CSE),2018,2022,bhavinsarma20@gmail.com,9.12822E+11,01-01-2003,"80, Sarna Circle, Karimnagar-460079",Deoghar,90.4,86.8,Yes,Zoho Corporation,2250078,Got job in campus placement
1115,Vritika Brar,Computer Science Engineering (CSE),2018,2022,vritikabrar50@gmail.com,1160455906,27-07-1998,"00, Balasubramanian Road, Surendranagar Dudhrej-211083",Thrissur,78.4,83.9,Yes,Infosys,2348632,Got job in campus placement
1116,Zoya Jani,Computer Science Engineering (CSE),2018,2022,zoyajani68@gmail.com,9.17885E+11,20-07-1998,"20/01, Bhatia, Sirsa 217037",Bhind,75.8,82.6,No,,,No special remarks
1117,Krish Som,Computer Science Engineering (CSE),2019,2023,krishsom35@gmail.com,9.11566E+11,28-10-2001,"359, Bakshi Circle, Ludhiana 320084",Tirunelveli,79.2,80.3,No,,,No special remarks
1118,Rasha Bava,Computer Science Engineering (CSE),2017,2021,rashabava47@gmail.com,9.1049E+11,04-07-2003,"97, Ravel Ganj, Surendranagar Dudhrej 750372",Sambhal,90.6,99.3,Yes,Infosys,2236511,Got job in campus placement
1119,Indrajit Sampath,Computer Science Engineering (CSE),2016,2020,indrajitsampath17@gmail.com,1798507769,09-09-1998,"912, Tripathi Chowk, Amritsar 975773",Shimoga,92.6,81.6,Yes,TCS,2228223,Got job in campus placement
1120,Navya Biswas,Computer Science Engineering (CSE),2017,2021,navyabiswas55@gmail.com,8769121668,23-12-2002,"02/23, Kar Marg, Ulhasnagar-689183",Pudukkottai,94.1,88.4,Yes,Wipro,2268346,Got job in campus placement
1121,Raghav Dugal,Computer Science Engineering (CSE),2017,2021,raghavdugal26@gmail.com,2503461096,14-11-1999,"H.No. 00, Deep Path, Kolkata 272715",Tadipatri,90.6,97.6,No,,,No special remarks
1122,Prisha Taneja,Computer Science Engineering (CSE),2018,2022,prishataneja3@gmail.com,9.16219E+11,24-07-2000,"H.No. 11, Ahluwalia Road, Bhatpara 712068",Bhilai,76.1,99.9,No,,,No special remarks
